# MLP λ=0.02 (6.48M steps): 8 Patterns × 45 Rates (0.01-0.45)
# Columns: traffic, rate, latency_cyc, flits

uniform_random,0.01,8.5,2950
uniform_random,0.02,8.5,6068
uniform_random,0.03,8.7,8843
uniform_random,0.04,8.7,11681
uniform_random,0.05,8.8,14787
uniform_random,0.06,8.8,17694
uniform_random,0.07,8.9,20700
uniform_random,0.08,8.9,23748
uniform_random,0.09,9.0,26805
uniform_random,0.10,9.1,29945
uniform_random,0.11,9.2,32944
uniform_random,0.12,9.3,35770
uniform_random,0.13,9.4,38642
uniform_random,0.14,9.6,41430
uniform_random,0.15,9.7,44470
uniform_random,0.16,9.9,47626
uniform_random,0.17,10.0,50685
uniform_random,0.18,10.2,53633
uniform_random,0.19,10.4,56828
uniform_random,0.20,10.6,59645
uniform_random,0.21,10.9,62840
uniform_random,0.22,11.1,65905
uniform_random,0.23,11.5,68705
uniform_random,0.24,12.0,71644
uniform_random,0.25,12.3,74746
uniform_random,0.26,12.8,77611
uniform_random,0.27,13.7,80507
uniform_random,0.28,14.6,83571
uniform_random,0.29,15.4,86674
uniform_random,0.30,19.0,89505
uniform_random,0.31,21.0,83467
uniform_random,0.32,34.1,93181
uniform_random,0.33,47.3,92783
uniform_random,0.34,62.9,93515
uniform_random,0.35,55.7,88878
uniform_random,0.36,72.2,84066
uniform_random,0.37,90.9,87042
uniform_random,0.38,84.2,82721
uniform_random,0.39,123.4,93471
uniform_random,0.40,137.9,92970
uniform_random,0.41,149.0,93901
uniform_random,0.42,138.3,88738
uniform_random,0.43,151.4,90424
uniform_random,0.44,169.2,93333
uniform_random,0.45,127.2,83015
tornado,0.01,7.0,2739
tornado,0.02,7.1,5846
tornado,0.03,7.1,8784
tornado,0.04,7.2,11791
tornado,0.05,7.2,14766
tornado,0.06,7.3,17657
tornado,0.07,7.3,20656
tornado,0.08,7.4,23621
tornado,0.09,7.5,26561
tornado,0.10,7.6,29707
tornado,0.11,7.7,32735
tornado,0.12,7.8,35764
tornado,0.13,7.9,38712
tornado,0.14,8.1,41405
tornado,0.15,8.3,44320
tornado,0.16,8.5,47285
tornado,0.17,8.8,50237
tornado,0.18,9.3,53293
tornado,0.19,9.8,56110
tornado,0.20,10.9,59106
tornado,0.21,11.1,60408
tornado,0.22,11.9,59745
tornado,0.23,16.1,62659
tornado,0.24,14.3,59926
tornado,0.25,15.2,61526
tornado,0.26,15.1,58169
tornado,0.27,20.4,60132
tornado,0.28,17.0,54633
tornado,0.29,15.6,54018
tornado,0.30,20.0,54872
tornado,0.31,20.2,53569
tornado,0.32,17.2,53598
tornado,0.33,19.3,56700
tornado,0.34,13.5,54418
tornado,0.35,14.0,52108
tornado,0.36,15.9,54717
tornado,0.37,16.2,52663
tornado,0.38,19.4,55097
tornado,0.39,18.6,55623
tornado,0.40,19.0,58599
tornado,0.41,31.0,56987
tornado,0.42,33.7,60130
tornado,0.43,41.4,56435
tornado,0.44,49.6,57838
tornado,0.45,42.4,58270
bit_complement,0.01,11.0,2732
bit_complement,0.02,11.4,5841
bit_complement,0.03,11.6,8765
bit_complement,0.04,11.6,11770
bit_complement,0.05,11.7,14731
bit_complement,0.06,11.9,17610
bit_complement,0.07,12.0,20586
bit_complement,0.08,12.1,23558
bit_complement,0.09,12.4,26477
bit_complement,0.10,12.6,29649
bit_complement,0.11,13.0,32644
bit_complement,0.12,13.2,35660
bit_complement,0.13,13.8,38610
bit_complement,0.14,14.1,41262
bit_complement,0.15,15.1,44164
bit_complement,0.16,15.9,47093
bit_complement,0.17,17.9,50008
bit_complement,0.18,21.1,51039
bit_complement,0.19,34.6,55076
bit_complement,0.20,39.0,51195
bit_complement,0.21,75.9,51075
bit_complement,0.22,99.9,41451
bit_complement,0.23,125.6,46302
bit_complement,0.24,157.2,46152
bit_complement,0.25,126.0,38991
bit_complement,0.26,122.2,35954
bit_complement,0.27,196.4,35545
bit_complement,0.28,152.3,38725
bit_complement,0.29,186.0,34119
bit_complement,0.30,172.2,32499
bit_complement,0.31,151.5,29999
bit_complement,0.32,191.1,32364
bit_complement,0.33,174.2,35369
bit_complement,0.34,219.9,33776
bit_complement,0.35,146.8,26771
bit_complement,0.36,195.4,33616
bit_complement,0.37,172.8,30767
bit_complement,0.38,247.5,36340
bit_complement,0.39,199.7,31852
bit_complement,0.40,255.8,26635
bit_complement,0.41,282.4,33125
bit_complement,0.42,310.3,36326
bit_complement,0.43,251.4,34598
bit_complement,0.44,275.8,32113
bit_complement,0.45,282.0,31683
bit_reverse,0.01,8.4,2734
bit_reverse,0.02,8.8,5849
bit_reverse,0.03,8.8,8780
bit_reverse,0.04,8.9,11782
bit_reverse,0.05,8.9,14750
bit_reverse,0.06,9.1,17643
bit_reverse,0.07,9.3,20623
bit_reverse,0.08,9.6,23584
bit_reverse,0.09,9.8,26519
bit_reverse,0.10,11.0,29683
bit_reverse,0.11,11.8,32685
bit_reverse,0.12,16.2,35532
bit_reverse,0.13,26.0,38104
bit_reverse,0.14,39.4,39714
bit_reverse,0.15,55.9,40645
bit_reverse,0.16,74.6,41153
bit_reverse,0.17,80.7,41828
bit_reverse,0.18,91.3,42420
bit_reverse,0.19,92.3,42956
bit_reverse,0.20,91.3,43530
bit_reverse,0.21,94.6,44072
bit_reverse,0.22,92.6,44565
