# XY Routing Baseline: 8 Patterns × 50 Rates (0.01-0.50)
# 8×8 Mesh, XY DOR, 2M sim-cycles
# Columns: traffic, rate, latency_cyc, flits_received

uniform_random,0.01,8.5,2950
uniform_random,0.02,8.5,6068
uniform_random,0.03,8.7,8843
uniform_random,0.04,8.7,11676
uniform_random,0.05,8.8,14789
uniform_random,0.06,8.8,17695
uniform_random,0.07,8.9,20700
uniform_random,0.08,8.9,23747
uniform_random,0.09,9.0,26807
uniform_random,0.10,9.1,29938
uniform_random,0.11,9.3,32941
uniform_random,0.12,9.3,35771
uniform_random,0.13,9.5,38626
uniform_random,0.14,9.6,41423
uniform_random,0.15,9.7,44487
uniform_random,0.16,9.9,47633
uniform_random,0.17,9.9,50674
uniform_random,0.18,10.2,53640
uniform_random,0.19,10.5,56819
uniform_random,0.20,10.6,59656
uniform_random,0.21,10.9,62853
uniform_random,0.22,11.1,65889
uniform_random,0.23,11.6,68696
uniform_random,0.24,11.9,71648
uniform_random,0.25,12.2,74742
uniform_random,0.26,12.8,77592
uniform_random,0.27,13.3,80524
uniform_random,0.28,14.1,83556
uniform_random,0.29,15.3,86638
uniform_random,0.30,16.2,89609
uniform_random,0.31,23.2,91604
uniform_random,0.32,27.4,94207
uniform_random,0.33,41.0,94849
uniform_random,0.34,47.6,96395
uniform_random,0.35,70.6,96343
uniform_random,0.36,81.3,96475
uniform_random,0.37,105.7,95404
uniform_random,0.38,115.8,96876
uniform_random,0.39,122.9,96567
uniform_random,0.40,139.4,95744
uniform_random,0.41,138.3,97724
uniform_random,0.42,147.8,96541
uniform_random,0.43,156.2,97035
uniform_random,0.44,164.0,96255
uniform_random,0.45,154.9,98653
uniform_random,0.46,170.8,97558
uniform_random,0.47,171.4,97122
uniform_random,0.48,175.5,98470
uniform_random,0.49,182.1,97963
uniform_random,0.50,183.3,97566
tornado,0.01,7.0,2739
tornado,0.02,7.1,5846
tornado,0.03,7.1,8784
tornado,0.04,7.2,11791
tornado,0.05,7.2,14766
tornado,0.06,7.3,17657
tornado,0.07,7.3,20656
tornado,0.08,7.4,23621
tornado,0.09,7.5,26561
tornado,0.10,7.6,29707
tornado,0.11,7.7,32735
tornado,0.12,7.8,35764
tornado,0.13,7.9,38712
tornado,0.14,8.1,41405
tornado,0.15,8.3,44320
tornado,0.16,8.5,47287
tornado,0.17,8.8,50236
tornado,0.18,9.3,53290
tornado,0.19,9.9,56263
tornado,0.20,11.1,59160
tornado,0.21,12.8,62134
tornado,0.22,16.4,65071
tornado,0.23,29.5,66554
tornado,0.24,41.7,68430
tornado,0.25,49.3,69711
tornado,0.26,63.0,68953
tornado,0.27,67.3,69617
tornado,0.28,74.2,70445
tornado,0.29,88.7,71294
tornado,0.30,92.4,71224
tornado,0.31,103.7,71568
tornado,0.32,113.5,71413
tornado,0.33,131.3,71777
tornado,0.34,136.3,71736
tornado,0.35,142.0,71875
tornado,0.36,149.4,72109
tornado,0.37,149.3,71974
tornado,0.38,158.3,72657
tornado,0.39,155.7,72593
tornado,0.40,154.9,72978
tornado,0.41,157.7,73102
tornado,0.42,154.7,73264
tornado,0.43,156.7,73499
tornado,0.44,158.5,73823
tornado,0.45,156.2,73905
tornado,0.46,158.9,74222
tornado,0.47,167.1,74513
tornado,0.48,167.1,74838
tornado,0.49,171.4,74824
tornado,0.50,173.7,75035
bit_complement,0.01,11.0,2732
bit_complement,0.02,11.4,5841
bit_complement,0.03,11.6,8765
bit_complement,0.04,11.6,11770
bit_complement,0.05,11.7,14731
bit_complement,0.06,11.9,17610
bit_complement,0.07,12.0,20587
bit_complement,0.08,12.1,23558
bit_complement,0.09,12.3,26476
bit_complement,0.10,12.6,29644
bit_complement,0.11,13.0,32642
bit_complement,0.12,13.2,35655
bit_complement,0.13,13.8,38610
bit_complement,0.14,14.1,41254
bit_complement,0.15,15.0,44173
bit_complement,0.16,15.9,47089
bit_complement,0.17,17.6,50020
bit_complement,0.18,20.5,52937
bit_complement,0.19,26.6,55428
bit_complement,0.20,39.9,56656
bit_complement,0.21,71.8,56198
bit_complement,0.22,113.8,51447
bit_complement,0.23,138.0,49101
bit_complement,0.24,162.4,45207
bit_complement,0.25,163.1,43404
bit_complement,0.26,152.4,43026
bit_complement,0.27,165.6,42294
bit_complement,0.28,168.9,42542
bit_complement,0.29,171.4,42120
bit_complement,0.30,168.5,41158
bit_complement,0.31,167.4,41204
bit_complement,0.32,161.0,41326
bit_complement,0.33,160.3,41697
bit_complement,0.34,154.2,42044
bit_complement,0.35,163.7,42286
bit_complement,0.36,152.8,43017
bit_complement,0.37,158.7,42984
bit_complement,0.38,163.0,43705
bit_complement,0.39,161.3,44173
bit_complement,0.40,159.8,44656
bit_complement,0.41,153.8,44780
bit_complement,0.42,144.7,45279
bit_complement,0.43,144.3,45780
bit_complement,0.44,149.6,46626
bit_complement,0.45,140.9,46932
bit_complement,0.46,138.0,47390
bit_complement,0.47,139.2,48049
bit_complement,0.48,136.9,48635
bit_complement,0.49,130.9,49010
bit_complement,0.50,132.8,49297
bit_reverse,0.01,8.4,2734
bit_reverse,0.02,8.8,5849
bit_reverse,0.03,8.7,8779
bit_reverse,0.04,8.9,11785
bit_reverse,0.05,8.9,14753
bit_reverse,0.06,9.1,17641
bit_reverse,0.07,9.5,20621
bit_reverse,0.08,9.6,23592
